Dataset,nTrees,Rep,K,BaggingAccuracy,BaggingPrecision,BaggingRecall,BaggingF1,SAAccuracy,SAPrecision,SARecall,SAF1
pima,40,3,4,0.7777777777777778,0.7743386243386243,0.7777777777777778,0.7754908306364617,0.7516339869281046,0.7483606992932674,0.7516339869281046,0.7305131402154358
pima,40,3,5,0.7777777777777778,0.7705014749262538,0.7777777777777778,0.7717542396441479,0.738562091503268,0.723545616593745,0.738562091503268,0.7216727398924171
pima,40,4,1,0.7272727272727273,0.7200995461865026,0.7272727272727273,0.7216083916083915,0.7597402597402597,0.7537092736747387,0.7597402597402597,0.7506333054146248
pima,40,4,2,0.7337662337662337,0.7368121038136902,0.7337662337662337,0.7350091551772223,0.6818181818181818,0.6729695041486649,0.6818181818181818,0.6737722048066875
pima,40,4,3,0.7857142857142857,0.7836727068933308,0.7857142857142857,0.7843806186897792,0.7597402597402597,0.75483273097952,0.7597402597402597,0.7530405214434487
pima,40,4,4,0.7973856209150327,0.7983783450487112,0.7973856209150327,0.7978464354232573,0.7712418300653595,0.7702165833653722,0.7712418300653595,0.7706947972805906
pima,40,4,5,0.7777777777777778,0.7693194925028836,0.7777777777777778,0.7657520325203252,0.7843137254901961,0.7765987751032617,0.7843137254901961,0.7737094513638835
pima,50,0,1,0.7337662337662337,0.7289513207880556,0.7337662337662337,0.7305510023956625,0.7142857142857143,0.7038202576112412,0.7142857142857143,0.6918978779443896
pima,50,0,2,0.7337662337662337,0.7313656040928768,0.7337662337662337,0.7322801092712597,0.7402597402597403,0.7353033439989962,0.7402597402597403,0.7329141446788506
pima,50,0,3,0.7857142857142857,0.7865798516910834,0.7857142857142857,0.7861130020422057,0.7207792207792207,0.7130757112408488,0.7207792207792207,0.7129930384342782
pima,50,0,4,0.7843137254901961,0.7795691115952553,0.7843137254901961,0.7801432021533518,0.803921568627451,0.8021626957419123,0.803921568627451,0.7950254175744371
pima,50,0,5,0.7712418300653595,0.7629858961128311,0.7712418300653595,0.7641100212719318,0.7516339869281046,0.7411944182707407,0.7516339869281046,0.7428387845624508
pima,50,1,1,0.7272727272727273,0.7250788427259015,0.7272727272727273,0.7260499634869146,0.7662337662337663,0.7621797440309238,0.7662337662337663,0.7545642763034068
pima,50,1,2,0.7272727272727273,0.7255499602438378,0.7272727272727273,0.7262861934592808,0.6688311688311688,0.6579715900816818,0.6688311688311688,0.6584326400570777
pima,50,1,3,0.7987012987012987,0.7995198868774561,0.7987012987012987,0.7990758504032841,0.7337662337662337,0.7283858998144713,0.7337662337662337,0.729482012240633
pima,50,1,4,0.7777777777777778,0.7743386243386243,0.7777777777777778,0.7754908306364617,0.7712418300653595,0.7658738860564418,0.7712418300653595,0.7598708445562592
pima,50,1,5,0.7843137254901961,0.7770500912915773,0.7843137254901961,0.7775894486278215,0.7843137254901961,0.7765987751032617,0.7843137254901961,0.7737094513638835
pima,50,2,1,0.7532467532467533,0.7467532467532467,0.7532467532467533,0.7465323791854404,0.6688311688311688,0.6518264344351301,0.6688311688311688,0.6536764061145157
