dataset,k_cross,rep,fitness,accuracy,spearman_corr,spearman_p,theta,beta,gamma
digits,4,4,0.35913546906188715,0.9554317548746518,0.038259724218984374,0.087158032957239,0.25,0.5,0.25
digits,4,5,0.37769152641789483,0.9442896935933147,0.25578255645460274,3.050321656474968e-31,0.25,0.5,0.25
digits,5,1,0.37104976197330175,0.935933147632312,0.02909139018367824,0.1934404846770815,0.25,0.5,0.25
digits,5,2,0.3668765395095459,0.9415041782729805,0.17109865411346203,1.3202238590689465e-14,0.25,0.5,0.25
digits,5,3,0.3712825035672953,0.9331476323119777,0.17607517711272386,2.1661948401132387e-15,0.25,0.5,0.25
digits,5,4,0.37894914217020387,0.924791086350975,0.37548846859253315,5.483989387719701e-68,0.25,0.5,0.25
digits,5,5,0.35965376104893454,0.9331476323119777,0.03728284009715533,0.09553898187101618,0.25,0.5,0.25
digits,1,1,0.35094690025258174,0.9416666666666667,7.276475372503456e-05,0.9974052007655615,0.25,0.5,0.5
digits,1,2,0.35014686742117246,0.9416666666666667,-0.05926334866705918,0.008025128573186041,0.25,0.5,0.5
digits,1,3,0.35391389462767164,0.925,0.004212462806256802,0.8506649047579304,0.25,0.5,0.5
digits,1,4,0.3499273247137625,0.9527777777777777,0.2141448596655385,3.547029555646998e-22,0.25,0.5,0.5
digits,1,5,0.3723509852154069,0.9361111111111111,0.25225994258300555,2.0906991265772103e-30,0.25,0.5,0.5
digits,2,1,0.3510406608348963,0.9638888888888889,0.3227630569776235,1.026435447350603e-49,0.25,0.5,0.5
digits,2,2,0.3508476493484606,0.9388888888888889,0.0410304217838662,0.06657067114232967,0.25,0.5,0.5
digits,2,3,0.34612850606149714,0.9333333333333333,-0.08947821940503198,6.146216393334573e-05,0.25,0.5,0.5
digits,2,4,0.3757432964835147,0.9277777777777778,0.1730701039316651,6.4932920207457014e-15,0.25,0.5,0.5
digits,2,5,0.3532031376645908,0.9388888888888889,-0.02151917734053582,0.33611159936066093,0.25,0.5,0.5
digits,3,1,0.3682274365223576,0.9108635097493036,0.13865934485387782,4.746615947059547e-10,0.25,0.5,0.5
digits,3,2,0.35105575426833363,0.8997214484679665,-0.05477459378178756,0.014289504634119264,0.25,0.5,0.5
digits,3,3,0.3485775834792155,0.8941504178272981,-0.1525575400422472,6.95887532027644e-12,0.25,0.5,0.5
digits,3,4,0.3506349074366326,0.8913649025069638,-0.07497404675122472,0.0007920202067249547,0.25,0.5,0.5
digits,3,5,0.3592073466251768,0.9192200557103064,-0.0017834933070782074,0.9364675525079564,0.25,0.5,0.5
digits,4,1,0.35938549652744284,0.9220055710306406,0.05972904580129479,0.0075427665729676085,0.25,0.5,0.5
digits,4,2,0.35115430090753835,0.9442896935933147,0.18327271199654865,1.4427992607162614e-16,0.25,0.5,0.5
digits,4,3,0.3504642460446189,0.9275766016713092,-0.11649305332197936,1.7484703093007024e-07,0.25,0.5,0.5
digits,4,4,0.3529860750606665,0.9331476323119777,0.10580945718207775,2.113034154063176e-06,0.25,0.5,0.5
digits,4,5,0.3611065500449094,0.9303621169916435,-0.003603849045332285,0.8720392194125892,0.25,0.5,0.5
digits,5,1,0.3518082332371825,0.924791086350975,-0.02289140487639278,0.30619967746509763,0.25,0.5,0.5
digits,5,2,0.35756416983394274,0.9080779944289693,0.10828893075658949,1.2094661531545913e-06,0.25,0.5,0.5
digits,5,3,0.3463625180587095,0.9331476323119777,0.44322742177916874,5.148427461776489e-97,0.25,0.5,0.5
digits,5,4,0.35469625328661203,0.9220055710306406,0.12382314987717524,2.7686749642745046e-08,0.25,0.5,0.5
digits,5,5,0.34966245708468857,0.9498607242339833,0.3603480840815563,2.226297437709201e-62,0.25,0.5,0.5
digits,1,1,0.3440618581986628,0.9166666666666666,0.2559513158241164,2.7795245054019316e-31,0.25,0.5,0.75
digits,1,2,0.3509538244908107,0.9444444444444444,-0.17547943074901265,2.6970486168961678e-15,0.25,0.5,0.75
digits,1,3,0.3655786915624242,0.9111111111111111,-0.2374855920702173,4.850738036696671e-27,0.25,0.5,0.75
digits,1,4,0.34826051839610095,0.9416666666666667,0.1587932082583031,9.17350845249392e-13,0.25,0.5,0.75
digits,1,5,0.35437026691195195,0.925,0.017584513215478614,0.43188362094735266,0.25,0.5,0.75
digits,2,1,0.35795806290204196,0.95,0.04064700483721406,0.06915528561010857,0.25,0.5,0.75
digits,2,2,0.34843162041227166,0.9222222222222223,-0.09872291193071546,9.730776692455094e-06,0.25,0.5,0.75
digits,2,3,0.3598350348853307,0.9194444444444444,-0.2291027329517851,3.1320458872545496e-25,0.25,0.5,0.75
digits,2,4,0.35782430304448376,0.9388888888888889,-0.015530952693199578,0.4875737500840308,0.25,0.5,0.75
digits,2,5,0.3411982421960123,0.9277777777777778,0.008542346114187107,0.7026145679685011,0.25,0.5,0.75
digits,3,1,0.328784155071587,0.8885793871866295,0.008618076898720024,0.700105307528142,0.25,0.5,0.75
digits,3,2,0.34604171645597775,0.8607242339832869,-0.3654072023649779,3.21354022146983e-64,0.25,0.5,0.75
digits,3,3,0.36363389938954743,0.9108635097493036,-0.04765011859809754,0.03310098744784425,0.25,0.5,0.75
digits,3,4,0.3498215939757948,0.9025069637883009,-0.08355796587924397,0.0001832653225680075,0.25,0.5,0.75
digits,3,5,0.3613724312094683,0.9220055710306406,-0.22665346499614486,1.0262240982294027e-24,0.25,0.5,0.75
digits,4,1,0.3423065763475474,0.9387186629526463,0.31194226100981637,2.1856900598105418e-46,0.25,0.5,0.75
digits,4,2,0.36671190096502665,0.9387186629526463,0.22997760775372908,2.042943341748452e-25,0.25,0.5,0.75
digits,4,3,0.36918643150555563,0.9275766016713092,0.07033398957835066,0.001647500822574213,0.25,0.5,0.75
digits,4,4,0.36086002660980665,0.9331476323119777,-0.1618735182217591,3.2706505131750824e-13,0.25,0.5,0.75
