dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
pima,2,1,0.5,0.25,0.01,0.47756557285724116,-0.2654346201543986,1.3387795217954434e-33,0.78125,0.7487723954877239,0.7345763984482543,0.7406073082861555
pima,2,2,0.5,0.25,0.01,0.46652917078947287,0.12578825585288717,1.6581907559462277e-08,0.7864583333333334,0.7537878787878788,0.751532974596421,0.7526317443358577
pima,2,3,0.5,0.25,0.01,0.4975844448734782,-0.07910264773365248,0.00039874083026859576,0.7708333333333334,0.735672514619883,0.7269428106619947,0.7308525551166051
pima,3,1,0.5,0.25,0.01,0.48624075343022216,0.11002192186393554,8.129467157813801e-07,0.75,0.7382617382617382,0.6967126193001061,0.706384605581751
pima,3,2,0.5,0.25,0.01,0.503501397775445,-0.28211507100558864,6.55458466780514e-38,0.7239583333333334,0.7068195354377605,0.6636620714033228,0.671052206238888
pima,3,3,0.5,0.25,0.01,0.4752544041489275,-0.05533144216467061,0.013329352032067083,0.7604166666666666,0.7469797746708293,0.7143867090844822,0.7236891502940809
pima,4,1,0.5,0.25,0.01,0.48484662159859443,0.08219950364898834,0.0002332301761272702,0.75,0.7323158593231587,0.7062566277836692,0.7141439205955336
pima,4,2,0.5,0.25,0.01,0.4973048355835,0.12683477429958953,1.2579745686228263e-08,0.703125,0.6755494505494506,0.6505832449628844,0.6560977909059486
pima,4,3,0.5,0.25,0.01,0.505066436129957,0.057199258653106926,0.010511750693978014,0.7083333333333334,0.683459397745112,0.6514669494521033,0.6574487065120429
pima,1,1,0.5,0.25,0.05,0.5112439649578868,-0.1139033979031924,3.266914634751932e-07,0.6822916666666666,0.6501544004117344,0.6375044185224461,0.6411654768834829
pima,1,2,0.5,0.25,0.05,0.5081048414060584,-0.11467069990713945,2.718392142391517e-07,0.6979166666666666,0.668615984405458,0.6528808766348533,0.657438169066076
pima,1,3,0.5,0.25,0.05,0.4992685535790853,0.28299073352511317,3.818528392654576e-38,0.734375,0.7113377609108159,0.7099681866383881,0.710629746741925
pima,2,1,0.5,0.25,0.05,0.4654532773974697,-0.1910322271011016,6.851802404493013e-18,0.7708333333333334,0.7476982716847036,0.6919033913152296,0.706299541093033
pima,2,2,0.5,0.25,0.05,0.49486276410675567,0.06335847429048767,0.0045889727770393966,0.7552083333333334,0.7173076923076923,0.6979727193092229,0.7053195310714169
pima,2,3,0.5,0.25,0.05,0.47956059402967216,-0.04325779382264898,0.053083220920905234,0.75,0.7105507631055077,0.6985358528344388,0.7035512094698919
