dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
wine,1,2,0.25,0.75,0.01,0.5975146198830409,-0.15566204952270435,2.5637561730311463e-12,1.0,1.0,1.0,1.0
wine,1,3,0.25,0.75,0.01,0.6457602339181286,0.3124224924883625,1.5659993492834853e-46,0.9777777777777777,0.9777777777777779,0.9814814814814815,0.9789819376026273
wine,2,1,0.25,0.75,0.01,0.5438596491228069,0.050344919969249856,0.02435303454569676,0.9777777777777777,0.9761904761904763,0.9803921568627452,0.9775533108866442
wine,2,2,0.25,0.75,0.01,0.5415497076023392,-0.4883172084122032,2.3812970355320625e-120,0.9333333333333333,0.9369747899159663,0.9411764705882352,0.9345629231381919
wine,2,3,0.25,0.75,0.01,0.6057017543859649,0.32757120769490505,3.0755005636011214e-51,0.9555555555555556,0.9547511312217195,0.9547511312217195,0.9547511312217195
wine,3,1,0.25,0.75,0.01,0.5989766081871345,0.1918942797821214,4.844301552152538e-18,1.0,1.0,1.0,1.0
wine,3,2,0.25,0.75,0.01,0.5527777777777778,0.005253109181415069,0.8143787672946368,1.0,1.0,1.0,1.0
wine,3,3,0.25,0.75,0.01,0.5883040935672514,0.05774396455683471,0.009796535675590919,1.0,1.0,1.0,1.0
wine,4,1,0.25,0.75,0.01,0.5394736842105263,-0.08052181479810057,0.00031257630594801346,0.8863636363636364,0.871345029239766,0.9155844155844156,0.8803372478169226
wine,4,2,0.25,0.75,0.01,0.5923976608187134,0.26864382240343926,2.0933285055707255e-34,0.9090909090909091,0.8928571428571429,0.9307359307359307,0.9074074074074074
wine,4,3,0.25,0.75,0.01,0.5694444444444444,0.6178077858461455,7.549731579159344e-211,0.9318181818181818,0.9232804232804233,0.9458874458874459,0.933326819099733
wine,1,1,0.25,0.75,0.05,0.5219298245614035,0.05881925550641164,0.008510631815148809,1.0,1.0,1.0,1.0
wine,1,2,0.25,0.75,0.05,0.5298538011695907,-0.3185200602788522,2.151924155551539e-48,1.0,1.0,1.0,1.0
wine,1,3,0.25,0.75,0.05,0.6149122807017544,-0.010517578721284162,0.6382983193120861,0.9777777777777777,0.9761904761904763,0.9814814814814815,0.9781305114638448
wine,2,1,0.25,0.75,0.05,0.5385964912280702,0.04535476876140654,0.04254978765109815,0.9555555555555556,0.9553571428571429,0.9607843137254902,0.9560682994822779
wine,2,2,0.25,0.75,0.05,0.5191520467836257,0.2880449261776568,1.62546259120516e-39,0.9777777777777777,0.9761904761904763,0.9803921568627452,0.9775533108866442
wine,2,3,0.25,0.75,0.05,0.5312865497076024,0.4081732364999002,3.7110777608896587e-81,1.0,1.0,1.0,1.0
wine,3,1,0.25,0.75,0.05,0.5339181286549708,-0.2377070925088214,4.335223902301068e-27,0.9772727272727273,0.9777777777777779,0.9791666666666666,0.9777530589543938
wine,3,2,0.25,0.75,0.05,0.506578947368421,0.22052682478700453,1.879887866075226e-23,1.0,1.0,1.0,1.0
wine,3,3,0.25,0.75,0.05,0.5257894736842106,-0.22817328820349467,4.921851343223644e-25,0.9545454545454546,0.9565826330532213,0.9523809523809524,0.9537437870771205
wine,4,1,0.25,0.75,0.05,0.5714912280701754,0.3024178861838006,1.4328218321240317e-43,0.9090909090909091,0.9042207792207791,0.9042207792207791,0.9042207792207791
wine,4,2,0.25,0.75,0.05,0.5535087719298246,-0.0092787707659748,0.6783551288902592,0.8409090909090909,0.8248366013071896,0.8852813852813853,0.8390215148835839
wine,4,3,0.25,0.75,0.05,0.5584795321637426,0.6086526341081002,4.926233351908645e-203,0.9545454545454546,0.9407407407407407,0.9696969696969697,0.9530248881161659
wine,1,1,0.5,0.25,0.01,0.6033625730994152,0.11510350591689777,2.449391010301084e-07,1.0,1.0,1.0,1.0
wine,1,2,0.5,0.25,0.01,0.6093567251461989,-0.008948538486403954,0.6891943583810793,0.9555555555555556,0.9576719576719577,0.9576719576719577,0.95679012345679
wine,1,3,0.5,0.25,0.01,0.6072124756335282,0.2133630781222609,5.050873465421391e-22,0.9777777777777777,0.9761904761904763,0.9761904761904763,0.9753086419753085
wine,2,1,0.5,0.25,0.01,0.6097465886939571,0.2649608695189898,1.7568706425270083e-33,1.0,1.0,1.0,1.0
wine,2,2,0.5,0.25,0.01,0.5702729044834308,0.030832308288754887,0.16810192394011123,0.9777777777777777,0.9761904761904763,0.9803921568627452,0.9775533108866442
wine,2,3,0.5,0.25,0.01,0.5937621832358675,-0.0037018215051050534,0.8685917231235203,0.9111111111111111,0.9129210658622423,0.9155354449472096,0.9118589743589745
wine,3,1,0.5,0.25,0.01,0.5966861598440546,0.17935129862738383,6.401100402987122e-16,1.0,1.0,1.0,1.0
wine,3,2,0.5,0.25,0.01,0.627729044834308,0.03752071885122182,0.09344099961178111,1.0,1.0,1.0,1.0
wine,3,3,0.5,0.25,0.01,0.5829922027290448,0.08929184655111799,6.367903878631538e-05,1.0,1.0,1.0,1.0
