dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
breast_cancer,3,2,0.25,0.75,0.01,0.35144274093298894,-0.4440977043736642,1.966437123118268e-97,0.9436619718309859,0.9425060346719334,0.9344968756733463,0.9382608695652175
breast_cancer,3,3,0.25,0.75,0.01,0.3528334523323814,-0.024465433978711135,0.27412732289813085,0.9577464788732394,0.9510281958872164,0.9584141348847232,0.9544871794871794
breast_cancer,4,1,0.25,0.75,0.01,0.35677097733401286,0.21283567170046253,6.405915983758277e-22,0.9507042253521126,0.9627659574468085,0.9363636363636363,0.9466824009011425
breast_cancer,4,2,0.25,0.75,0.01,0.33033864460092444,0.01384987128396636,0.5358982199178319,0.971830985915493,0.9737121051515794,0.9669801462904911,0.9701178451178452
breast_cancer,4,3,0.25,0.75,0.01,0.34591841919810096,0.04780818163496513,0.03252220501746601,0.9788732394366197,0.9833333333333334,0.9727272727272727,0.9775067321400286
breast_cancer,1,1,0.25,0.75,0.05,0.3550606595147239,0.29100283542407807,2.4859780314946777e-40,0.972027972027972,0.9737938596491228,0.9646236559139785,0.9689535388623534
breast_cancer,1,2,0.25,0.75,0.05,0.3392558504061351,0.06862618632388215,0.00213515953531389,0.951048951048951,0.9444799658994032,0.948494623655914,0.9464276157345465
breast_cancer,1,3,0.25,0.75,0.05,0.34683421732626135,0.2330030058809746,4.597929356055487e-26,0.958041958041958,0.9581140350877193,0.949247311827957,0.9534303082935303
breast_cancer,2,1,0.25,0.75,0.05,0.3527233782129743,-0.3915546666810424,2.8295623748164807e-74,0.9225352112676056,0.9200626959247649,0.917358803986711,0.9186585429359996
breast_cancer,2,2,0.25,0.75,0.05,0.33592051263589895,0.45251232780576767,1.544527904913695e-101,0.9436619718309859,0.9474358974358974,0.9348006644518272,0.9402356902356903
breast_cancer,2,3,0.25,0.75,0.05,0.34722406418550855,0.103231241387191,3.7258118520856276e-06,0.9507042253521126,0.9497387669801463,0.9468438538205981,0.9482372545956361
breast_cancer,3,1,0.25,0.75,0.05,0.32311816960009776,0.20078022047582425,1.2344179093192964e-19,0.971830985915493,0.9694031458737341,0.9694031458737341,0.9694031458737341
breast_cancer,3,2,0.25,0.75,0.05,0.36798419810443717,-0.08341040426101452,0.00018816065278030452,0.9577464788732394,0.9541047188106011,0.9541047188106011,0.9541047188106011
breast_cancer,3,3,0.25,0.75,0.05,0.36191995449190384,-0.26569512633850384,1.1526674928077981e-33,0.9507042253521126,0.9448717948717948,0.9486102133160956,0.9466824009011425
breast_cancer,4,1,0.25,0.75,0.05,0.3395600408319263,-0.03828533416387027,0.08694656219760113,0.9507042253521126,0.9494949494949495,0.9463949843260189,0.9478899082568808
