Dataset,nTrees,Rep,K,DT,Bagging,RF,BaggingCustom,BaggingSA
digits,40,1,1,0.8416666666666667,0.9555555555555556,0.9666666666666667,0.9388888888888889,0.9555555555555556
digits,40,1,2,0.8833333333333333,0.9638888888888889,0.9805555555555555,0.9555555555555556,0.9611111111111111
digits,40,1,3,0.8384401114206128,0.9303621169916435,0.9637883008356546,0.924791086350975,0.9275766016713092
digits,40,1,4,0.8774373259052924,0.9303621169916435,0.9777158774373259,0.935933147632312,0.9554317548746518
digits,40,1,5,0.883008356545961,0.9442896935933147,0.9749303621169917,0.9442896935933147,0.9498607242339833
digits,40,2,1,0.8638888888888889,0.9555555555555556,0.9666666666666667,0.9527777777777777,0.9777777777777777
digits,40,2,2,0.8722222222222222,0.9638888888888889,0.9805555555555555,0.9527777777777777,0.9666666666666667
digits,40,2,3,0.8272980501392758,0.9303621169916435,0.9637883008356546,0.9164345403899722,0.9387186629526463
digits,40,2,4,0.8662952646239555,0.9303621169916435,0.9777158774373259,0.935933147632312,0.958217270194986
digits,40,2,5,0.8746518105849582,0.9442896935933147,0.9749303621169917,0.947075208913649,0.9554317548746518
digits,40,3,1,0.85,0.9555555555555556,0.9666666666666667,0.9555555555555556,0.95
digits,40,3,2,0.8805555555555555,0.9638888888888889,0.9805555555555555,0.95,0.9527777777777777
digits,40,3,3,0.8523676880222841,0.9303621169916435,0.9637883008356546,0.9220055710306406,0.935933147632312
digits,40,3,4,0.8551532033426184,0.9303621169916435,0.9777158774373259,0.9331476323119777,0.935933147632312
digits,40,3,5,0.8579387186629527,0.9442896935933147,0.9749303621169917,0.958217270194986,0.9554317548746518
digits,40,4,1,0.8555555555555555,0.9555555555555556,0.9666666666666667,0.9444444444444444,0.9527777777777777
digits,40,4,2,0.8861111111111111,0.9638888888888889,0.9805555555555555,0.9583333333333334,0.9666666666666667
digits,40,4,3,0.8328690807799443,0.9303621169916435,0.9637883008356546,0.9331476323119777,0.935933147632312
digits,40,4,4,0.8495821727019499,0.9303621169916435,0.9777158774373259,0.935933147632312,0.9554317548746518
digits,40,4,5,0.8579387186629527,0.9442896935933147,0.9749303621169917,0.9387186629526463,0.9554317548746518
digits,50,0,1,0.8638888888888889,0.9555555555555556,0.9722222222222222,0.95,0.9583333333333334
digits,50,0,2,0.875,0.9583333333333334,0.9805555555555555,0.9583333333333334,0.9583333333333334
digits,50,0,3,0.8356545961002786,0.9303621169916435,0.9637883008356546,0.9136490250696379,0.9303621169916435
digits,50,0,4,0.8885793871866295,0.9387186629526463,0.9860724233983287,0.9331476323119777,0.9415041782729805
digits,50,0,5,0.8356545961002786,0.9554317548746518,0.9777158774373259,0.947075208913649,0.9554317548746518
digits,50,1,1,0.85,0.9555555555555556,0.9722222222222222,0.9388888888888889,0.9694444444444444
digits,50,1,2,0.8777777777777778,0.9583333333333334,0.9805555555555555,0.9583333333333334,0.9638888888888889
digits,50,1,3,0.8523676880222841,0.9303621169916435,0.9637883008356546,0.9275766016713092,0.9526462395543176
digits,50,1,4,0.8635097493036211,0.9387186629526463,0.9860724233983287,0.935933147632312,0.9526462395543176
digits,50,1,5,0.8551532033426184,0.9554317548746518,0.9777158774373259,0.9554317548746518,0.9665738161559888
digits,50,2,1,0.8472222222222222,0.9555555555555556,0.9722222222222222,0.9388888888888889,0.9638888888888889
digits,50,2,2,0.875,0.9583333333333334,0.9805555555555555,0.9472222222222222,0.9583333333333334
digits,50,2,3,0.8356545961002786,0.9303621169916435,0.9637883008356546,0.924791086350975,0.9442896935933147
digits,50,2,4,0.871866295264624,0.9387186629526463,0.9860724233983287,0.9415041782729805,0.9498607242339833
digits,50,2,5,0.871866295264624,0.9554317548746518,0.9777158774373259,0.9415041782729805,0.9554317548746518
digits,50,3,1,0.8638888888888889,0.9555555555555556,0.9722222222222222,0.9333333333333333,0.9555555555555556
digits,50,3,2,0.8805555555555555,0.9583333333333334,0.9805555555555555,0.9611111111111111,0.9666666666666667
digits,50,3,3,0.8384401114206128,0.9303621169916435,0.9637883008356546,0.924791086350975,0.9415041782729805
digits,50,3,4,0.8635097493036211,0.9387186629526463,0.9860724233983287,0.947075208913649,0.9554317548746518
digits,50,3,5,0.8551532033426184,0.9554317548746518,0.9777158774373259,0.9498607242339833,0.9637883008356546
digits,50,4,1,0.8472222222222222,0.9555555555555556,0.9722222222222222,0.9361111111111111,0.9555555555555556
digits,50,4,2,0.8666666666666667,0.9583333333333334,0.9805555555555555,0.9555555555555556,0.9527777777777777
digits,50,4,3,0.8523676880222841,0.9303621169916435,0.9637883008356546,0.9192200557103064,0.9415041782729805
digits,50,4,4,0.8635097493036211,0.9387186629526463,0.9860724233983287,0.9442896935933147,0.958217270194986
digits,50,4,5,0.871866295264624,0.9554317548746518,0.9777158774373259,0.947075208913649,0.9526462395543176
